"question","answer"
"Với sản phẩm Glutathione và Ascorbic Acid, lý do gây đau buốt khi meso  vi điểm là gì?","Với hai sản phẩm Mesotheraphy làm trắng, trị nám là Glutathion và Ascorbic Acid, sẽ có những yếu tố sau có thể gây nên cảm giác đau buốt khi meso  vi điểm
- Độ pH thấp (Acid) khi đưa vào da sẽ gây cảm giác nóng buốt.
- Để đi qua màng tế bào, hai hoạt chất này phải đảo điện tích màng tế bào, tạo đường dẫn để xâm nhập qua màng tế bào nên tạo ra cảm giác đau buốt.
- Cơ chế tác động của Glutathione là biến các sắc tố màu nâu đen (eumelanin) thành màu nâu đỏ (pheomelanin) dễ dàng phân rã hơn, nên có thể gây nên cảm giác đau buốt."
"Với sản phẩm Glutathione và Ascorbic Acid, làm thế nào để giảm thiểu đau buốt khi meso  vi điểm?","Để giảm thiểu cảm giác đau buốt, có thể thực hiện những phương pháp sau: 
- Massage tê. 
- Điện di tê. 
- Meso nông biểu bì. 
- Kết hợp Glutathione, Ascorbic Acid với HA, TXA… - Về tâm lý, khi mesotherapy, khách hàng hít sâu thở đều để giảm cảm giác đau. 
-Có thể tập trung meso  vi điểm meso ở vùng nhiều nám, các phần còn lại trên mặt sẽ lăn, phi kim. "
"Với sản phẩm HA. 3.5%, lý do gây đau buốt và lâu tan khi meso  vi điểm là gì?","Với sản phẩm HA 3.5%, sẽ có những yếu tố sau có thể gây nên cảm giác đau buốt và lâu tan khi meso vi điểm:
- Sản phẩm có độ nhớt cao, khi meso vào da thì sẽ gây ra sự chèn ép các mô xung quanh, tác động đến các sợi và đầu mút thần kinh gây ra cảm giác buốt.
- Độ nhớt của sản phẩm cũng khiến các nốt sần chậm tan hơn
- Do Phản ứng viêm trên da (có nhiều nguyên nhân) khiến cho khu trú hoạt chất tại điểm đưa vào và làm cho chúng chậm khuếch tán ra môi trường xung quanh."
"Với sản phẩm HA 3,5%, làm thế nào để giảm thiểu đau buốt khi meso  vi điểm?","Để giảm thiểu cảm giác đau buốt, có thể thực hiện những phương pháp sau: 
- Massage tê. 
- Điện di tê. 
- Mix HA cùng với các sản phẩm khác như Skin Lift, Skin Renew.... để làm giảm độ nhớt của sản phẩm và tăng cường hiệu quả trẻ hoá.   
- meso  vi điểm vào tầng sâu (trung bì): Đối với HA là 1 chất hút nước, khi meso vào tầng nông của da (thượng bì) thì nốt sần sẽ chậm tan hơn khi đưa vào tầng sâu (trung bì), do lượng nước ở thượng bì ít hơn so với trung bì nên việc hút nước và khuếch tán của HA sẽ bị chậm."
"Vì sao sau mesotherapy TXA Bright nhìn thấy nám rõ và đậm màu hơn?","TXA bright có Tranexamic tác dụng ức chế sắc tố mới hình thành, peptides làm sáng, tái tạo màng đáy vì thế meso vi điểm vài lần đầu sắc tố đã hình thành từ trước có thể đẩy lên trên bề mặt theo chu trình chuyển hóa tế bào nên sẽ thấy nám đậm lên => tiếp tục meso vi điểm đến khi sắc tố cũ được loại bỏ hết."
"Tại sao nên ứng dụng lăn phi kim với sản phẩm Purasomes?","Sử dụng phương pháp lăn phi kim sẽ tạo NHIỀU TỔN THƯƠNG GIẢ HƠN từ đó, tạo nhiều ĐƯỜNG DẪN HƠN so với meso vi điểm.
Ngoài ra, khi ứng dụng phương pháp lăn phi kim kết hợp Exosomes sẽ hỗ trợ phục hồi lớp màng đáy cho da -> hiệu quả phục hồi, tái tạo và điều trị da rõ rệt"
"Sản phẩm Purasomes nên meso  vi điểm nông hay sâu?","meso vi điểm nông thượng bì sẽ cho trải nghiệm thoải mái, dễ chịu hơn với khách hàng. Vì trong AMPLEX+ sẽ chứa hàm lượng lớn các yếu tố tăng trưởng, các cytokine... các cytokine tham gia vào phản ứng viêm để sửa chữa tái tạo mô nên khi đưa vào lớp trung bì có thể sẽ có cảm giác nóng, buốt nhẹ do kích thích các sợi thần kinh ở lớp này. 
Việc đưa sản phẩm vào lớp thượng bì sẽ hạn chế việc kích thích thần kinh, nên sẽ giảm cảm giác khó chịu trên da. 
Exosome là các nang có màng lipid nên dù đưa vào lớp thượng bì thì sản phẩm vẫn dễ dàng khuếch tán và thẩm thấu đến các mô xung quanh mang lại hiệu quả tối ưu."
"Tại sao Peeling System bong ít/ không bong?","Với 2 công nghệ đặc trưng là Liposome và Polymer, giúp hoạt chất thẩm thấu sâu và đi đúng đích cần điều trị, sẽ giúp tăng sinh và tái tạo sâu hơn từ bên trong mà không gây bong lột quá nhiều trên da. 
Bên cạnh các thành phần acid nồng độ cao như TCA, Lactic, Mandelic,... các sản phẩm peel của Dermoaroma là sự kết hợp của nhóm thành phần Bio Booster như PDRN, DMAE, tế bào gốc thực vật, giúp kích thích tăng sinh, chống oxy hoá, phục hồi và bảo vệ tế bào. 
Do đó, các sản phẩm Peeling System hỗ trợ tái tạo da mà không chờ thời gian phục hồi, cải thiện các tình trạng, vấn đề da một cách an toàn và chuyên sâu. "
"Khi meso vi điểm HA, gặp hiện tượng sần lâu (trên 3 ngày) cần làm gì để khắc phục","TH khách meso đến nay là 3 ngày chưa tan ngoài phụ thuộc vào nồng độ của sản phẩm thì còn phụ thuộc vào độ nông sâu mỗi nốt meso vi điểm. 
HA meso vi điểm nông trên thượng bì sẽ lâu tan hơn sâu xuống trung bì nông.
Để xác định phương pháp khắc phục nốt sần, thực hiện theo như hướng dẫn dưới đây:
Nếu sờ không thấy vết sần -> khả năng thuốc đã tan hết, hiện tượng trên là do da sần, Khách hàng có thể peel nhẹ nhàng trên da để làm giảm độ sần trên da và bạt sừng.
Nếu sờ thấy vết sần -> tăng cường massage, đắp mặt nạ và điện di."
"Trường hợp khách hàng da sần, đỏ, nhạy cảm, có hiện tượng nhạy cảm, có thể sử dụng Exosomes hoặc những sản phẩm Meso phục hồi không?","Khách hàng có thể sử dụng được những sản phẩm phục hồi như Purasomes NC 150, tuy nhiên, ở những buổi đầu có thể gặp hiện tượng kích ứng tê, hoặc đẩy mụn.
Với trường hợp kích ứng tê, có thể đắp mặt nạ siêu cấp ẩm trước rồi mới ủ tê.
Với trường hợp đẩy mụn, theo sát để lấy nhân mụn sau đó. "
"Các sản phẩm Preime có thể Mix được cùng các sản phẩm SRS không?","Các sản phẩm của Preime và SRS có thể mix được với nhau tuỳ theo tình trạng da của khách hàng."
"Một số trường hợp da mỏng yếu, giãn mao mạch có chống chỉ định với bộ đôi Ivawhite không?","Các sản phẩm của Ivawhite không chống chỉ định với làn da nào, một số trường hợp da mỏng yếu/ cơ địa có thể kích ứng khi mới sử dụng trong thời gian đầu thì mình giảm tần suất (2-3 lần/ tuần, thay vì sử dụng hàng ngày) và tăng dần để da thích nghi với sản phẩm."
"Xin tổng hợp tài liệu về mã sản phẩm Ivawhite của hãng bằng tiếng anh và đặc biệt là thành phần 4 - n - butylrecorcinol","[1] Kolbe L, Mann T, Gerwat W, Batzer J, Ahlheit S, Scherner C, Wenck H, Stäb F. 4-n-butylresorcinol, a highly effective tyrosinase inhibitor for the topical treatment of hyperpigmentation. J Eur Acad Dermatol Venereol. 2013 Jan;27 Suppl 1:19-23. doi: 10.1111/jdv.12051. PMID: 23205541.

[2] Okubo T, Oyohikawa M, Futaki K, Matsukami M, Fujii A. The inhibitory effects of 4-N-butyl-resorcinol on melanogenesis [abstract] J Dermatol Sci. 1995;10:88.

[3] Mohan, M.; Gowda, A.; Jaiswal, A.K.; Kumar, B.S.; Shree, S.; Gangaboraiah, B.; Shamanna, M. Assessment of efficacy, safety, and tolerability of 4-n-butylresorcinol 0.3% cream: An Indian multicentric study on melasma. Clin. Cosmet. Investig. Dermatol. 2016, 9, 21–27.

[4] Espin JC, Varon R, Fenoll LG et al. Kinetic characterization of the substrate specificity and mechanism of mushroom tyrosinase. Eur J Biochem 2000; 267: 1270–1279.

[5] Garcia-Molina F, Hiner AN, Fenoll LG et al. Mushroom tyrosinase: catalase activity, inhibition, and suicide inactivation. J Agric Food Chem

2005; 53: 3702–3709. 

[6] Huh SY, Shin JW, Na JI, Huh CH, Youn SW, Park KC. The Efficacy and Safety of 4-n-butylresorcinol 0.1% Cream for the Treatment of Melasma: A Randomized Controlled Split-face Trial. Ann Dermatol. 2010 Feb;22(1):21-5. doi: 10.5021/ad.2010.22.1.21. Epub 2010 Feb 28. PMID: 20548876; PMCID: PMC2883392."
"Xin phác đồ điều trị rạn da với sản phẩm SPN-6","Liệu trình lăn kim 1-1,5mm x 3 tuần/ lần x tối thiểu 5 lần.
Tuy nhiên nếu là rạn trắng sẽ cần nhiều thời gian, số buổi hơn rạn đỏ."
"Tại sao một số sản phẩm HA có mùi khá nồng? (Ví dụ: Aquafil HA, Christina Theraskin HA)","Mùi hương của sản phẩm là mùi kết hợp giữa các nguyên liệu thô trong sản phẩm, không phải mùi cụ thể của thành phần nào. 
Ngoài ra, thông tin thêm là trên thị trường, công nghệ sản xuất HA được thực hiện chủ yếu là công nghệ Operon từ các vi khuẩn lên men nên có thể dẫn đến mùi hương hơi nồng."
"Người cắt mí đang uống kháng sinh có được meso không","Khách hàng sau khi dừng kháng sinh có thể thực hiện phương pháp mesotherapy"
"Tại sao khi apply sản phẩm số 7 của Line Repair dễ bị vón","Hiện tượng sử dụng sản phẩm Line Repair bị vón thường xuất hiện khi khách hàng da rất khô, sau khi thoa tinh chất, tinh chất thấm nhanh vào da, sau đó, thoa sản phẩm Kem dưỡng sử dụng lực miết mạnh khiến sản phẩm vón.
Cách khắc phục: 
Nếu sử dụng Tinh chất cùng điện di, lượng Tinh chất sẽ cần nhiều hơn. Khi apply Kem dưỡng, sẽ chấm nhiều điểm rồi vỗ để kem thẩm thấu thay vì miết."
"Vì sao sau Mesotherapy, da khách hàng xuất hiện dịch vàng?","Hiện tượng chảy dịch vàng sau Mesotherapy có thể do dã bị nhiễm trùng khi thực hiện meso vi điểm sản phẩm. 
Nguyên nhân gây nhiễm trùng có thể nằm trong những lý do sau đây: 
- Quy trình vô khuẩn dụng cụ/ sát khuẩn da không đảm bảo.
- Quy trình bảo quản thuốc không đảm bảo: Ví dụ khi bọc màng bảo quản vẫn giữ nguyên kim tại nắp lọ/ Thuốc bảo quản quá 14 ngày/ Nhiệt độ bảo quản không ổn định....

Cách khắc phục: 
- Ngưng các sản phẩm dưỡng da thông thường. 
- Sử dụng Cicaderm kết hợp thuốc bôi giảm viêm theo chỉ định của bác sĩ đến khi hồi phục."
"Thời gian lưu trữ của các phương pháp Mesotherapy","Các sản phẩm Mesotherapy có thể ứng dụng đa phương pháp và thời gian lưu trữ ngăn mát tủ lạnh như sau: 
Bôi thoa thông thường/ điện di: tối đa không quá hạn sử dụng sau mở nắp trên bao bì 
Lăn phi kim: tối đa là 30 ngày
meso  vi điểm: tối đa là 14 ngày"
"Khi thực hiện meso vi điểm Mesotherapy có thể mix với Licocain để giảm đau không?","Việc mix Licocain để giảm đau phụ thuộc vào chỉ định của bác sĩ chuyên môn. 
Khi mix thuốc tê thực hiện meso vi điểm, khách hàng cần được kiểm tra kỹ càng và theo sát sau đó."
"Mẹ bầu có bôi được Floslek White & Beauty Spot Lightening cream 50ml không?","Sản phẩm Floslek White & Beauty có thể dùng cho PNCT"
"Khi meso  vi điểm nên dùng loại kim nào?","Khi meso  vi điểm nên dùng loại kim 34G 4mm, không nên dùng các loại kim to hơn vì có thể gây tổn thương cho da."
"Sản phẩm Theraskin HA có độ đặc loãng khác nhau","HA Theraskin 50ml là size được đặt riêng cho một số Quốc gia, trong đó có Việt Nam với công thức toàn cầu của sản phẩm HA từ nhãn hàng Christina.
Độ đặc loãng của các sản phẩm có khác nhau là do nồng độ cpu - dung môi tạo độ đặc loãng trong các sản phẩm khác nhau, đây là tỉ lệ nằm trong mức cho phép của sản phẩm Mỹ phẩm.
Nhãn hàng Christina và công ty Y dược VHN khẳng định công thức, chất lượng, độ an toàn của tất cả các sản phẩm đều được đảm bảo."
"Một số sản phẩm Mesotherapy bị cặn trắng có thể sử dụng được không?","Về lý thuyết, các sản phẩm có cặn nhưng vẫn còn hạn sử dụng vẫn có thể sử dụng được. Khách hàng lưu ý thêm về việc bảo quản bao gồm: môi trường, nhiệt độ.... Ngoài ra, khi lấy thuốc, có thể bỏ phần cặn, chỉ lấy phần trong suốt."
"Khi thực hiện liệu trình RDM được khoảng 2 ngày, chưa thấy hiện tượng bong nhưng rất ngứa, có vấn đề gì không? Làm gì để giảm ngứa?","Khi peel sản phẩm RDM được 2 ngày, việc chưa bong và xuất hiện ngứa là bình thường. Để giảm ngứa, khách hàng có thể sử dụng các sản phẩm dưỡng ẩm dịu nhẹ và bôi 1 lớp mỏng. 
Ngoài ra có thể sử dụng thuốc uống theo chỉ định của bác sĩ."
"Khi thực hiện các phương pháp peel không đúng kỹ thuật bị tăng sắc tố, cần làm gì để cải thiện","Các trường hợp bị tăng sắc tố sau peel, trước tiên, cần được phục hồi lớp hàng rào bảo vệ. Sau đó khách hàng có thể sử dụng phương pháp Meso kết hợp Laser để điều trị tăng sắc tố, thời gian phục hồi từ 1-6 tháng tuỳ tình trạng tăng sắc tố nhẹ hay mạnh. 

Meso có thể kết hợp phục hồi và điều trị tăng sắc tố là SPN-5 và Glutathion."
"Tại sao sau khi meso vi điểm Meso da khách hàng vẫn có hiện tượng khô và tăng sắc tố?","Hiện tượng da khô và tăng sắc tố sau Meso có thể do chăm sóc da sau Meso chưa được đầy đủ. 
Sau khi Meso xong, Khách hàng cần dưỡng ẩm đầy đủ bằng cách đắp mặt nạ và bảo vệ da hoàn hảo cùng kem chống nắng và khẩu trang, mũ nón..."
"Phương pháp meso vi điểm Mesotherapy có chống chỉ định với PNCT và cho con bú không?","Có, phương pháp meso vi điểm meso chống chỉ định cho hai đối tượng này."
"Những lưu ý về chăm sóc da sau khi thực hiện Peel với RDM?","1. Trong 2 ngày đầu tiên sau khi thay da, đảm bảo làm khô da và giữ vệ sinh cho da, cần tránh tiếp xúc với ánh sáng tuyệt đối.
2. Sau hai ngày, làn da trở nên đặc biệt là khô và bắt đầu bong tróc. Tại thời điểm này, bắt buộc phải sử dụng các sản phẩm dưỡng ẩm, làm dịu và phục hồi cho da, chống nắng.
3. Lưu ý sử dụng kem chống nắng, kem phục hồi, dưỡng ẩm cho da.
4. Không wax lông.
5. Không nhuộm tóc.
6. Sau khi thực hiện trị liệu body, cần mặc áo thun rộng thoải mái, tránh cọ xát vào vùng da trị liệu, không tập thể dục, không bơi lội, tắm gội tránh tiếp xúc với vùng da sau trị liệu, tránh nằm tì đè lên vùng da sau peel, không gãi, không chà xát."
"Khách hàng sử dụng kem mắt nhưng thấy hiện tượng bong da","Nếu khách hàng nằm điều hoà nhiều cũng có khả năng bị khô và bong da. Cách khắc phục, tăng thêm định lượng để cấp ẩm tốt hơn."
"Tại sao meso vi điểm PPC có hiện tuơngj tím và nổi cục dưới da?","Trường hợp tím có thể là meso vi điểm chạm vào mạch, sờ thấy cục là do thuốc lan tỏa ko đều nên có chỗ mỡ sẽ lỏng, chỗ mỡ sẽ cứng hoặc meso vi điểm chạm mạch cũng có thể gây sưng/ phản ứng phân hủy mỡ mạnh gây sưng viêm. 
Cách khắc phục: Chườm ấm và massage nhẹ nhàng  sau meso vi điểm 5-7 ngày để hạn chế hiện tượng mỡ chỗ cứng chỗ mềm."
"Tại sao Exosomes có hiện tượng đổi màu?","Sản phẩm Exosomes đổi màu là do hiện tượng tương tác giữa các peptide, có những peptides hoạt động trong môi trường dung môi nó nhạt hơn hoặc đậm hơn thì các peptides con lại lập tức chuyển màu tương tự, nên vẫn có thể sử dung bình thường và chất lượng không thay đổi."
"Tại sao bột tảo Rose De Mer lại có hiện tượng có màu sắc khác biệt?","Sản phẩm Christina - 2A Rose De Mer là peel sinh học chứa thành phần silicat. Có chứa thành phần tảo biển, tuy nhiên thành phần tảo không phải thành phần chính của bộ peel này. Sự khác biệt về màu sắc sản phẩm, vì sản phẩm peel chứa các thành phần từ tự nhiên, cho nên việc thay đổi (không quá khác biệt) về màu sắc sẽ không làm ảnh hưởng đến chất lượng của sản phẩm."
"Trường hợp khách hàng peel cho vùng mặt bị trợt da, chảy dịch tiết nhiều nên xử trí như thế nào?","Trước tiên, khi da bị tổn thương sâu, trợt/ ra dịch vàng, cần phục hồi da hoàn toàn, sau đó, tuỳ từng tình trạng da có thể tiếp tục peel nhẹ trên bề mặt da và chi thành nhiều buổi.
Khi da bắt đầu bong, có thể thoa Body Lotion có khả năng làm sáng da."
"Bộ sản phẩm Rose De Mer có thể dùng được các vùng như Mông, Nách, Bẹn... không?","Với các vùng da dày như Mông, có thể ứng dụng Rose de Mer. Với các vùng mỏng hơn, nhiều nếp gấp và có thể tiết mồ hôi gây ẩm như Nách, Bẹn... có thể sử dụng peel Intima để mang lại cảm giác dễ chịu hơn, lưu ý, nên xử lý tăng tiết mồ hôi trước khi peel để đạt được hiệu quả tối ưu hơn."
"Các sản phẩm dưỡng sáng da như Illutrious, Ivawhite.... có thể dùng sau Laser được không?","Illutrious, Ivawhite là sản phẩm dưỡng làm sáng nên có thể dùng được luôn sau laser không xâm lấn, trường hợp laser xâm lấn thì chờ đến khi da lành có thể sử dụng lại được."
"Trường hợp khách hàng bị tổn thương, đỏ, bong da mạnh sau vi kim rượu thuốc, có thể sử dụng sản phẩm gì để phục hồi?","Với những trường hợp da bị tổn thương, có thể sử dụng sản phẩm Unstress để phục hồi lớp sừng và hàng rào bảo vệ da theo phác đồ: 
Salon: Unstress
Homecare: Unstress Serum, Night Cream, Cicaderm. Có thể uống kèm thuốc kháng viêm theo chỉ định của Bác sĩ."
"Tại sao sau khi mở nắp một thời gian, sản phẩm mặt nạ dạng bột thường hay bị vón?","Do điều kiện thời tiết tại Việt Nam độ ẩm cao, khi mở bao bì, độ ẩm có thể xâm nhập vào sản phẩm kiếm sản phẩm dễ gặp hiện tượng vón lại, tuy nhiên không ảnh hưởng đến chất lượng sản phẩm. Cách khắc phục là không bóc hết lớp nilon bọc miệng hũ, chỉ mở một chút để lấy sản phẩm, tránh độ ẩm lọt vào. Ngoài ra, cần đánh kỹ để lớp mặt nạ nhuyễn hơn."
"Sau khi Peel 3-5 ngày khi bong có hiện tượng ngứa, hiện tượng này có bình thường không?","Sau khi peel, da sẽ bắt đầu khô để kích thích quá trình bong nên hiện tượng ngứa là bình thường. Có thể sử dụng các sản phẩm dưỡng ẩm dịu nhẹ để làm giảm cảm giác ngứa."
"Tại sao sản phẩm Rose de Mer Soap sau một thời gian có hiện tượng đóng màu trắng trên bề mặt","Sản phẩm Rose de Mer Soap gặp hiện tượng này là do các thành phần acid kết tủa trên bề mặt sản phẩm (Christina đã thực hiện kiểm tra trong phòng lab) - không phải hiện tượng mốc - không ảnh hưởng đến chất lượng sản phẩm."
"Tại sao một số khách hàng nền da khô, thô sần bị bong nhẹ da khi dùng bộ Biophyto","Đối với một số trường hợp nền da khô, sau khi thực hiện các bộ sản phẩm có tính làm sạch sâu như Biophyto cần chú ý về Quy trình chăm sóc da tại nhà. Các sản phẩm làm sạch tránh có chứa Acid và cần dưỡng ẩm đầy đủ (lý tưởng nên sử dụng bộ sản phẩm homecare của Biophyto)"
"Khách hàng đang sử dụng thuốc chống đông máu thì có nên dùng Mesotherapy không?","Các phương pháp meso  vi điểm đều có thể gây ảnh hưởng vì có thể chảy máu lâu, dẫn đến việc vết meso vi điểm dễ đỏ/ tím/ bầm.... Nếu khách có bấy kỳ vấn đề liên quan đến rối loạn đông máu cần có sự theo dõi và chỉ định nghiêm ngặt của Bác sĩ."
"Khách hàng bị kích ứng tê nên xử trí như thế nào?","Khách hàng kích ứng tê có thể sử dụng serum unstress/GF20 sáng-tối + cicaderm ngày 2-3 lần đến khi da lành, sử dụng thêm thuốc bôi kháng viêm theo chỉ định của Bác sĩ . Tránh nắng kĩ."
"Với những làn da bị mụn có được Peel không","Với những làn da có mụn ẩn, mụn khô cồi, nên lấy sạch nhân mụn trước khi Peel. Với tình trạng mụn viêm chưa lấy được, hoàn toàn có thể sử dụng Peel hoá học. Khi ứng dụng sản phẩm RDM trên nền da mụn sưng viêm chưa lấy được nhân, nên thao tác nhẹ nhàng hoặc lướt qua vụng mụn, sau 1-2 lần, nhân mụn sẽ khô cồi, đẩy mụn, sẽ tiếp tục chăm sóc nhân mụn với Comodex."
"Tại sao các sản phẩm Toner của Christina như Unstress, Biophyto... thường có bọt nhẹ khi sử dụng?","trong các SP Toner của CTN có chứa hàm lượng nhỏ chất làm sạch từ thực vật tự nhiên (Decyl Glucoside -  có nguồn gốc từ tinh bột ngô và rượu béo lên men từ dừa), nên cả trong Toner của Unstress hay Bio đều có bọt nhẹ khi sử dụng trên da."
"Tại sao SRM Floslek Anti Acne mẫu mới loãng hơn mẫu cũ","Nhãn hàng đã thay thế chất tẩy rửa chính Sodium Laureth Sulfate bằng một hệ thống tự nhiên và dịu nhẹ hơn: Sodium Lauroyl Sarcosinate + Cocamidopropyl Betaine. Ngoài ra, để tăng cường hiệu quả chống mụn của sản phẩm, nhãn hàng đã thêm thành phần Axit Salicylic. Các thành phần hoạt chất còn lại trong công thức làm mới ở cùng nồng độ: Panthenol, Polyplant Oily Skin, phức hợp điều tiết bã nhờn chứa Niacinamide, Zinc Gluconate, Faex Extract, Caffeine, Biotin, Aesculus Hippocastanum Seed Extract, Ammonium Glycyrrhizate.

Một đặc điểm nổi bật của các chất tẩy rửa mới, dịu nhẹ hơn và cao cấp hơn được sử dụng là chúng làm giảm độ nhớt của sản phẩm."
"Trường hợp khách hàng peel cho vùng mặt bị trợt da, chảy dịch tiết nhiều nên xử trí như thế nào","Trường hợp peel quá mạnh khiến da bị trợt, chảy dịch tiết nhiều vùng mặt có thể xử trí như sau: 
- Dùng gạc thấm nước muối sinh lý nhằm hút bớt dịch và vệ sinh da sạch sẽ. Khi khô các vảy này sẽ bong ra tự nhiên - chú ý không bóc - gãi làm bong sớm có thể gây sẹo.
- Dùng Cicaderm để phục hồi - tránh nắng cẩn thận.
- Bong xong có thể sử dụng sản phẩm ngăn ngừa tăng sắc tố như Illutrious, Ivawhite
- Có thể sử dụng thêm thuốc bôi/ uống theo chỉ định của Bác sĩ."
"Khi sử dụng sản phẩm SRS X'ADN sẽ có phác đồ như thế nào?","Phác đồ sử dụng của X'ADN
- Phục hồi, chống oxy hóa, cải thiện kết cấu bề mặt: Lăn/phi kim 0,5 - 1mm, lăn/phi hồng da, không chảy máu, kim phi 36 hoặc nano, mỗi lần 1 ống 2ml, 10 - 14 ngày/lần, liệu trình 4 - 6 buổi.
- Cải thiện tình trạng sẹo lõm, sẹo mụn: Lăn/phi kim 1 - 1,5mm, lăn/phi rớm máu, kim phi 12 hoặc 35, mỗi lần 1 ống 2ml, 14 ngày/lần, liệu trình 4 - 6 buổi."
"Tại sao sản phẩm Comodex Astringent & Regulate Mask bị tách nước?","Sản phẩm mặt nạ Comodex số 6 có chứa thành phần chính là Kaolin (đất sét), khi để sản phẩm đứng yên sẽ có hiện tượng Kaolin có cấu trúc nặng hơn chìm xuống dưới và các thành phần tạo ẩm tách lớp trên. Đây là hiện tượng hoàn toàn bình thường và thường xảy ra với các sản phẩm có chứa Kaolin. 
Khách hàng chỉ cần mix kỹ sản phẩm trước khi thoa lên trên da và sử dụng bình thường."
